标志,ID,人物,文本,跳转,,配乐
#,55,环境,一时间，得知三名黑衣大汉是血刀门弟子后，客栈中众江湖客有的蠢蠢向前，有的拔出刀剑，怒视血刀门弟子。,39,,
#,56,环境,你见岳银瓶身形甚是矫健，三个血刀门弟子尽管刀锋凌厉，仍不能伤她分毫，决定助血刀门弟子一把,58,,
#,57,玩家,你家兄长在前线危在旦夕，你还在这里与人缠斗？,59,,
#,58,环境,岳银瓶此次前来正是担心岳云安危，听到你提及岳云，分心之下，差点被斜拉的一刀砍中。,60,,
#,59,环境,幸好有江湖客眼疾手快，用剑帮岳银瓶挡下一刀。,61,,
#,60,血刀门弟子,莫要管其他闲杂人等，务要抓住这小丫头！,62,,
#,61,环境,三名血刀门弟子攻势更加凌厉，岳银瓶渐渐不支,63,,
#,62,环境,陆续又有五六个江湖客加入战团，务求挡住血刀门弟子。,64,,
#,63,江湖客,岳姑娘快走，我们替你拦住这些金狗！,65,,
#,64,环境,岳银瓶抽得身来，感激的望了一眼客栈中众江湖客，又向你偷来怨恨的目光！,66,,
#,65,岳银瓶,如此感谢各位相助，我还需去牛头山救我兄长，将来相见必当重谢！,67,,
#,66,环境,岳银瓶身手矫健，骑上门前白马绝尘而去,68,,
#,67,血刀门弟子,不好，被她走脱了！,69,,
#,68,血刀门弟子,此地不宜久留，我们快走！,70,,
#,69,环境,血刀门弟子从怀中拿出一枚黑球，猛地砸向地面，浓烟瞬间布满客栈，待硝烟散去，三人早已不见踪影。,71,,
#,70,金手指,宿主，岳银瓶对你怨恨值增加，以后遇到岳家军可要小心应对！,72,,
#,71,金手指,宿主触发成长主线剧情，稍后将有神秘人物出现，请宿主务必跟紧该神秘人物！,73,,
#,72,玩家,神秘人物？,74,,
&,73,金手指,询问金手指关于神秘人物信息,75,,
#,74,环境,一个爽朗的笑声从客栈外面传来,76,,
#,75,白衣老者,哈哈哈，这位小兄弟可是血刀门弟子，可否引在下与完颜鑫门主一见？,77,,
END,76,,,,,
